ID	DOCULECT	CONCEPT	COGIDS	GLOSSID	IPA	TOKENS	PROTOSTEM	PROTOFORM	COUNTERPART	NOTE
265	Middle_Breton	law	66	99	rez	r e z	*rextu-	*rextus	rez
266	Gaulish	law	66	99	rextu	r e x t u	*rextu-	*rextus	rextu-	From rextu-genos, a personal name
267	Celtiberian	law	66	99	retu	r e t u	*rextu-	*rextus	retu-	From retu-keno, a personal name
268	Old_Irish	king	67	100	rī	r ī	*rīg-	*rīxs	rí
269	Old_Welsh	king	67	100	ri	r i	*rīg-	*rīxs	ri
270	Gaulish	king	67	100	rix	r i x	*rīg-	*rīxs	rix
271	Celtiberian	king	67	100	reikis	r e i k i s	*rīg-	*rīxs	reikis
272	Old_Irish	wheel	70	101	roθ	r o θ	*roto-	*rotos	roth
273	Middle_Welsh	wheel	70	101	rot	r o t	*roto-	*rotos	rot
274	Middle_Breton	wheel	70	101	rot	r o t	*roto-	*rotos	rot
275	Gaulish	wheel	70	101	roto	r o t o	*roto-	*rotos	roto	From place name "Roto-magnus"
276	Old_Irish	red	71	102	rūað	r ū a ð	*rowdo-	*rowdos	rúad
277	Old_Welsh	red	71	102	rud	r u d	*rowdo-	*rowdos	rud
278	Old_Breton	red	71	102	rud	r u d	*rowdo-	*rowdos	rud
279	Old_Irish	secret	72	103	rūn	r ū n	*rūnā-	*rūnā	rún
280	Middle_Welsh	secret	72	103	rin	r i n	*rūnā-	*rūnā	rin
281	Middle_Breton	secret	72	103	rin	r i n	*rūnā-	*rūnā	rin
282	Gaulish	secret	72	103	runus	r u n u s	*rūnā-	*rūnā	runus	From Proper Noun Cob-runus
283	Old_Irish	salt	73	104	salan	s a l a n	*saleino-	*saleinos	salann
284	Middle_Welsh	salt	73	104	halen	h a l e n	*saleino-	*saleinos	halen
285	Middle_Breton	salt	73	104	holen	h o l e n	*saleino-	*saleinos	holen
286	Old_Irish	hunt	74	105	selg	s e l g	*selgā-	*selgā	selg
287	Old_Welsh	hunt	74	105	helɣa	h e l ɣ a	*selgā-	*selgā	helgha
288	Middle_Breton	hunt	74	105	hemolχ	h e m o l χ	*selgā-	*selgā	hemolch
289	Old_Irish	path	75	106	sēd	s ē d	*sentu-	*sentus	sét
290	Middle_Welsh	path	75	106	hint	h i n t	*sentu-	*sentus	hint
291	Old_Breton	path	75	106	hint	h i n t	*sentu-	*sentus	hint
292	Middle_Cornish	path	75	106	hins	h i n s	*sentu-	*sentus	hins
293	Gaulish	path	75	107	sento	s e n t o	*sentu-	*sentus	sento	From place name Sento-latis
294	Old_Irish	seven	76	108	sext	s e x t	*sextam	*sextam	secht
295	Middle_Welsh	seven	76	108	seiθ	s e i θ	*sextam	*sextam	seith
296	Middle_Breton	seven	76	108	seiθ	s e i θ	*sextam	*sextam	seith
297	Gaulish	seven	76	108	sextan	s e x t a n	*sextam	*sextam	sextan
298	Old_Irish	heel	77	109	ser	s e r	*sɸerā-	*sɸerā	seir
299	Middle_Welsh	ankle	77	110	fer	f e r	*sɸerā-	*sɸerā	ffer
300	Old_Cornish	ankle	77	110	fer	f e r	*sɸerā-	*sɸerā	fer
301	Old_Irish	descendants	78	111	sīl	s ī l	*sīlo- 	*sīlom	síl
302	Middle_Welsh	race, lineage	78	111	hīl	h ī l	*sīlo-	*sīlom	hil
303	Old_Irish	this	79	112	sin	s i n	*sindo-	*sindos	sin
304	Old_Welsh	this	79	112	hin	h i n	*sindo-	*sindos	hinn
305	Gaulish	this	79	112	sind	s i n d	*sindo-	*sindos	sinde	Declines for gender, case and number unlike Brythonic and Irish
306	Old_Irish	story	80	113	skēl	s k ē l	*skʷetlo-	*skʷetlom	scél
307	Middle_Welsh	story	80	113	χwedl	χ w e d l	*skʷetlo-	*skʷetlom	chwedl
308	Old_Irish	shadow	81	114	skāθ	s k ā θ	*skātu-	*skātu	scáth
309	Middle_Welsh	shadow	81	114	isgād	i s g ā d	*skātu-	*skātu	ysgawd
310	Old_Cornish	shadow	81	115	skod	s k o d	*skātu-	*skātu	scod
311	Old_Irish	tired	82	116	skīθ	s k ī θ	*skīto-	*skītos	scíth
312	Middle_Welsh	tired	82	116	eskud	e s k u d	*skīto-	*skītos	escud
313	Middle_Breton	tired	82	116	eskuit	e s k u i t	*skīto-	*skītos	escuit
314	Middle_Cornish	tired	82	116	uskis	u s k i s	*skīto-	*skītos	uskys
315	Old_Irish	stalk	83	117	slat	s l a t	*slattā-	*slattā	slat
316	Old_Breton	stalk	83	117	laθ	l a θ	*slattā-	*slattā	llath
